Time(s);RTF
0.00;0.00
0.10;1.26
0.20;0.91
0.30;0.85
0.40;1.35
0.50;0.94
0.60;1.25
0.70;1.05
0.80;0.95
0.90;1.03
1.00;0.61
1.10;3.21
1.20;0.99
1.30;0.99
1.40;1.00
1.50;0.74
1.60;0.90
1.70;1.16
1.80;1.68
1.90;0.59
2.00;1.90
2.10;0.97
2.20;1.22
2.30;0.98
2.40;0.98
2.50;0.63
2.60;2.39
2.70;0.67
2.80;2.58
2.90;0.51
3.00;3.91
3.10;0.80
3.20;1.89
3.30;0.90
3.40;0.62
3.50;2.72
3.60;1.25
3.70;0.85
3.80;0.96
3.90;1.04
4.00;0.95
4.10;1.07
4.20;0.87
4.30;0.67
4.40;2.20
4.50;0.92
4.60;0.84
4.70;0.99
4.80;0.99
4.90;1.58
5.00;1.00
5.10;0.76
5.20;1.14
5.30;1.27
5.40;0.94
5.50;1.02
5.60;1.12
5.70;0.92
5.80;1.02
5.90;1.01
6.00;0.94
6.10;1.04
6.20;0.97
6.30;0.98
6.40;0.63
6.50;2.85
6.60;1.01
6.70;0.99
6.80;0.97
6.90;1.05
7.00;0.95
7.10;1.01
7.20;0.99
7.30;1.05
7.40;0.93
7.50;1.11
7.60;0.95
7.70;1.06
7.80;0.66
7.90;2.46
8.00;0.86
8.10;1.01
8.20;1.06
8.30;1.00
8.40;1.01
8.50;0.96
8.60;1.04
8.70;0.97
8.80;1.02
8.90;1.04
9.00;0.94
9.10;1.03
9.20;1.02
9.30;0.97
9.40;1.04
9.50;0.94
9.60;1.04
9.70;0.99
9.80;1.00
9.90;0.99
10.00;0.99
10.10;1.01
10.20;1.02
10.30;0.98
10.40;1.01
10.50;1.00
10.60;1.02
10.70;0.99
10.80;1.00
10.90;0.98
11.00;1.01
11.10;1.04
11.20;0.98
11.30;1.03
11.40;0.97
11.50;0.96
11.60;1.04
11.70;0.96
11.80;1.05
11.90;1.00
12.00;0.96
12.10;1.00
12.20;1.06
12.30;0.97
12.40;1.05
12.50;0.96
12.60;1.00
12.70;1.03
12.80;0.97
12.90;1.04
13.00;0.92
13.10;1.01
13.20;1.17
13.30;0.98
13.40;0.91
13.50;0.99
13.60;1.03
13.70;1.00
13.80;1.01
13.90;0.99
14.00;1.00
14.10;1.01
14.20;0.96
14.30;0.99
14.40;1.08
14.50;0.97
14.60;0.97
14.70;1.05
14.80;0.97
14.90;1.02
15.00;1.01
15.10;0.94
15.20;1.10
15.30;0.94
15.40;1.04
15.50;0.93
15.60;1.05
15.70;1.00
15.80;1.04
15.90;0.94
16.00;1.03
16.10;0.97
16.20;1.06
16.30;0.98
16.40;1.01
16.50;1.01
16.60;0.97
16.70;1.02
16.80;0.99
16.90;0.98
17.00;1.00
17.10;1.03
17.20;1.02
17.30;0.95
17.40;1.03
17.50;0.97
17.60;1.02
17.70;1.02
17.80;0.96
17.90;0.99
18.00;1.03
18.10;1.00
18.20;1.03
18.30;1.00
18.40;0.96
18.50;0.98
18.60;1.10
18.70;0.97
18.80;1.06
18.90;0.98
19.00;0.95
19.10;1.03
19.20;1.01
19.30;0.96
19.40;1.01
19.50;0.95
19.60;1.07
19.70;1.00
19.80;0.99
19.90;0.99
20.00;0.57
20.10;3.26
20.20;0.81
20.30;0.86
20.40;1.29
20.50;1.06
20.60;1.37
20.70;0.91
20.80;0.95
20.90;0.91
21.00;0.84
21.10;0.98
21.20;1.25
21.30;0.68
21.40;2.57
21.50;1.02
21.60;1.04
21.70;0.84
21.80;0.80
21.90;1.07
22.00;1.28
22.10;1.30
22.20;0.91
22.30;1.05
22.40;0.99
22.50;0.92
22.60;1.03
22.70;1.07
22.80;0.53
22.90;4.18
23.00;0.83
23.10;1.68
23.20;0.93
23.30;0.97
23.40;0.71
23.50;1.08
23.60;1.05
23.70;1.63
23.80;0.89
23.90;1.04
24.00;0.99
24.10;0.98
24.20;1.02
24.30;1.00
24.40;0.90
24.50;0.84
24.60;1.29
24.70;0.75
24.80;1.26
24.90;0.85
25.00;1.83
25.10;0.88
25.20;0.89
25.30;1.21
25.40;0.77
25.50;1.21
25.60;0.79
25.70;1.17
25.80;0.92
25.90;1.30
26.00;1.23
26.10;0.66
26.20;1.61
26.30;0.83
26.40;1.26
26.50;0.66
26.60;1.70
26.70;1.26
26.80;0.94
26.90;1.04
27.00;1.00
27.10;0.85
27.20;1.19
27.30;0.85
27.40;0.66
27.50;2.19
27.60;1.24
27.70;0.98
27.80;1.02
27.90;0.94
28.00;1.02
28.10;1.00
28.20;0.86
28.30;0.88
28.40;0.87
28.50;1.21
28.60;1.06
28.70;1.46
28.80;0.92
28.90;0.99
29.00;0.57
29.10;3.84
29.20;0.91
29.30;1.22
29.40;0.96
29.50;0.98
29.60;1.09
29.70;0.93
29.80;0.87
29.90;0.78
30.00;1.28
30.10;0.93
30.20;1.63
30.30;0.75
30.40;0.94
30.50;1.70
30.60;0.81
30.70;0.98
30.80;1.13
30.90;0.84
31.00;0.83
31.10;1.41
31.20;1.07
31.30;1.08
31.40;0.99
31.50;1.03
31.60;1.00
31.70;0.97
31.80;0.67
31.90;2.09
32.00;0.64
32.10;3.44
32.20;0.86
32.30;1.03
32.40;0.98
32.50;0.62
32.60;2.61
32.70;0.97
32.80;0.80
32.90;0.81
33.00;1.41
33.10;1.06
33.20;1.36
33.30;0.79
33.40;0.72
33.50;3.33
33.60;0.79
33.70;1.16
33.80;1.02
33.90;0.63
34.00;2.12
34.10;1.04
34.20;0.55
34.30;4.66
34.40;0.82
34.50;0.83
34.60;1.66
34.70;1.02
34.80;0.99
34.90;1.04
35.00;0.96
35.10;1.01
35.20;1.05
35.30;0.95
35.40;1.02
35.50;0.96
35.60;1.04
35.70;1.02
35.80;0.92
35.90;0.75
36.00;1.86
36.10;0.91
36.20;0.77
36.30;0.97
36.40;1.25
36.50;1.18
36.60;0.99
36.70;0.84
36.80;0.92
36.90;1.50
37.00;0.87
37.10;1.13
37.20;1.01
37.30;0.99
37.40;1.02
37.50;0.98
37.60;1.00
37.70;0.99
37.80;0.98
37.90;1.07
38.00;0.95
38.10;1.02
38.20;1.01
38.30;0.99
38.40;1.02
38.50;0.94
38.60;1.05
38.70;1.04
38.80;0.96
38.90;1.03
39.00;0.95
39.10;1.02
39.20;1.03
39.30;0.93
39.40;1.03
39.50;1.03
39.60;1.00
39.70;0.99
39.80;1.01
39.90;0.99
40.00;0.99
40.10;0.42
40.20;10.42
40.30;2.58
40.40;0.86
40.50;1.07
40.60;1.00
40.70;0.94
40.80;0.98
40.90;1.04
41.00;0.94
41.10;1.11
41.20;0.98
41.30;1.06
41.40;0.94
41.50;1.02
41.60;0.96
41.70;1.00
41.80;1.04
41.90;0.98
42.00;0.97
42.10;1.02
42.20;1.02
42.30;0.98
42.40;1.02
42.50;1.01
42.60;0.99
42.70;0.98
42.80;0.99
42.90;1.02
43.00;1.01
43.10;0.96
43.20;1.06
43.30;0.98
43.40;1.02
43.50;0.89
43.60;1.14
43.70;0.99
43.80;1.00
43.90;1.00
44.00;1.03
44.10;0.96
44.20;1.03
44.30;0.99
44.40;0.98
44.50;1.04
44.60;0.95
44.70;1.07
44.80;0.95
44.90;1.01
45.00;1.04
45.10;0.96
45.20;1.01
45.30;0.99
45.40;0.95
45.50;1.10
45.60;0.93
45.70;1.03
45.80;0.97
45.90;0.99
46.00;1.03
46.10;0.98
46.20;0.99
46.30;1.04
46.40;0.93
46.50;1.05
46.60;0.99
46.70;1.06
46.80;0.95
46.90;1.04
47.00;0.94
47.10;1.05
47.20;1.08
47.30;0.90
47.40;1.03
47.50;1.01
47.60;0.99
47.70;0.98
47.80;1.05
47.90;0.98
48.00;1.01
48.10;0.98
48.20;1.02
48.30;1.02
48.40;0.97
48.50;0.97
48.60;1.10
48.70;1.17
48.80;1.10
48.90;1.01
49.00;0.99
49.10;1.01
49.20;0.99
49.30;1.01
49.40;0.99
49.50;0.97
49.60;1.04
49.70;1.00
49.80;1.00
49.90;1.00
50.00;0.98
50.10;1.00
50.20;1.01
50.30;0.99
