Time(s);RTF
0.00;0.00
0.10;0.68
0.20;0.68
0.30;0.62
0.40;0.66
0.50;0.62
0.60;0.63
0.70;0.55
0.80;0.50
0.90;0.68
1.00;0.68
1.10;0.60
1.20;0.60
1.30;0.60
1.40;0.65
1.50;0.74
1.60;0.76
1.70;0.56
1.80;0.53
1.90;0.57
2.00;0.73
2.10;0.67
2.20;0.60
2.30;0.69
2.40;0.74
2.50;0.65
2.60;0.68
2.70;0.70
2.80;0.64
2.90;0.67
3.00;0.67
3.10;0.65
3.20;0.55
3.30;0.50
3.40;0.59
3.50;0.70
3.60;0.68
3.70;0.67
3.80;0.69
3.90;0.77
4.00;0.77
4.10;0.57
4.20;0.53
4.30;0.68
4.40;0.64
4.50;0.59
4.60;0.69
4.70;0.62
4.80;0.70
4.90;0.70
5.00;0.60
5.10;0.39
5.20;0.44
5.30;0.55
5.40;0.56
5.50;0.66
5.60;0.68
5.70;0.67
5.80;0.67
5.90;0.63
6.00;0.68
6.10;0.72
6.20;0.43
6.30;0.34
6.40;0.72
6.50;0.69
6.60;0.72
6.70;0.69
6.80;0.62
6.90;0.51
7.00;0.68
7.10;0.69
7.20;0.75
7.30;0.62
7.40;0.44
7.50;0.51
7.60;0.47
7.70;0.60
7.80;0.71
7.90;0.68
8.00;0.67
8.10;0.53
8.20;0.60
8.30;0.73
8.40;0.68
8.50;0.68
8.60;0.62
8.70;0.51
8.80;0.59
8.90;0.70
9.00;0.71
9.10;0.59
9.20;0.69
9.30;0.76
9.40;0.63
9.50;0.61
9.60;0.77
9.70;0.73
9.80;0.48
9.90;0.58
10.00;0.59
10.10;0.67
10.20;0.71
10.30;0.74
10.40;0.73
10.50;0.62
10.60;0.64
10.70;0.68
10.80;0.69
10.90;0.65
11.00;0.70
11.10;0.75
11.20;0.58
11.30;0.66
11.40;0.81
11.50;0.72
11.60;0.79
11.70;0.84
11.80;0.64
11.90;0.51
12.00;0.56
12.10;0.63
12.20;0.62
12.30;0.44
12.40;0.45
12.50;0.61
12.60;0.70
12.70;0.74
12.80;0.76
12.90;0.76
13.00;0.67
13.10;0.70
13.20;0.70
13.30;0.75
13.40;0.65
13.50;0.89
13.60;0.88
13.70;0.93
13.80;0.96
13.90;0.87
14.00;0.78
14.10;0.65
14.20;0.88
14.30;0.92
14.40;1.01
14.50;0.85
14.60;1.01
14.70;1.08
14.80;0.88
14.90;0.72
15.00;0.73
15.10;0.95
15.20;0.78
15.30;0.69
15.40;1.04
15.50;0.66
15.60;1.07
15.70;0.97
15.80;0.96
15.90;1.01
16.00;0.92
16.10;0.90
16.20;0.97
16.30;1.05
16.40;1.21
16.50;0.89
16.60;0.89
16.70;0.98
16.80;0.81
16.90;0.79
17.00;0.78
17.10;0.84
17.20;0.88
17.30;0.76
17.40;0.84
17.50;0.78
17.60;0.95
17.70;0.92
17.80;0.76
17.90;0.79
18.00;0.89
18.10;0.83
18.20;0.68
18.30;0.69
18.40;0.70
18.50;0.72
18.60;0.67
18.70;0.75
18.80;0.97
18.90;0.76
19.00;0.66
19.10;0.75
19.20;1.08
19.30;0.99
19.40;0.78
19.50;0.69
19.60;0.77
19.70;0.97
19.80;0.98
19.90;0.93
20.00;0.64
20.10;0.86
20.20;0.56
20.30;0.75
20.40;0.66
20.50;0.53
20.60;0.48
20.70;0.57
20.80;0.38
20.90;0.43
21.00;0.55
21.10;0.62
21.20;0.70
21.30;0.70
21.40;0.66
21.50;0.67
21.60;0.68
21.70;0.60
21.80;0.65
21.90;0.63
22.00;0.68
22.10;0.59
22.20;0.42
22.30;0.44
22.40;0.56
22.50;0.59
22.60;0.59
22.70;0.67
22.80;0.64
22.90;0.67
23.00;0.60
23.10;0.43
23.20;0.67
23.30;0.66
23.40;0.68
23.50;0.49
23.60;0.39
23.70;0.53
23.80;0.58
23.90;0.60
24.00;0.56
24.10;0.60
24.20;0.59
24.30;0.60
24.40;0.59
24.50;0.57
24.60;0.59
24.70;0.55
24.80;0.61
24.90;0.65
25.00;0.58
25.10;0.51
25.20;0.44
25.30;0.58
25.40;0.60
25.50;0.59
25.60;0.57
25.70;0.79
25.80;0.71
25.90;0.69
26.00;0.56
26.10;0.84
26.20;0.64
26.30;0.65
26.40;0.69
26.50;0.58
26.60;0.56
26.70;0.57
26.80;0.64
26.90;0.61
27.00;0.74
27.10;0.69
27.20;0.74
27.30;0.62
27.40;0.77
27.50;0.82
27.60;0.78
27.70;0.69
27.80;0.38
27.90;0.48
28.00;0.57
28.10;0.58
28.20;0.61
28.30;0.55
28.40;0.62
28.50;0.66
28.60;0.62
28.70;0.59
28.80;0.57
28.90;0.60
29.00;0.58
29.10;0.49
29.20;0.51
29.30;0.59
29.40;0.62
29.50;0.62
29.60;0.61
29.70;0.65
29.80;0.66
29.90;0.66
30.00;0.57
30.10;0.57
30.20;0.57
30.30;0.58
30.40;0.58
30.50;0.56
30.60;0.57
30.70;0.58
30.80;0.63
30.90;0.60
31.00;0.64
31.10;0.67
31.20;0.60
31.30;0.62
31.40;0.57
31.50;0.56
31.60;0.63
31.70;0.63
31.80;0.54
31.90;0.53
32.00;0.59
32.10;0.51
32.20;0.47
32.30;0.49
32.40;0.70
32.50;0.63
32.60;0.62
32.70;0.63
32.80;0.59
32.90;0.63
33.00;0.57
33.10;0.52
33.20;0.56
33.30;0.58
33.40;0.56
33.50;0.54
33.60;0.51
33.70;0.48
33.80;0.45
33.90;0.60
34.00;0.53
34.10;0.58
34.20;0.60
34.30;0.58
34.40;0.51
34.50;0.61
34.60;0.61
34.70;0.57
34.80;0.56
34.90;0.46
35.00;0.43
35.10;0.55
35.20;0.60
35.30;0.58
35.40;0.58
35.50;0.63
35.60;0.68
35.70;0.64
35.80;0.62
35.90;0.62
36.00;0.58
36.10;0.58
36.20;0.58
36.30;0.49
36.40;0.54
36.50;0.60
36.60;0.68
36.70;0.67
36.80;0.47
36.90;0.48
37.00;0.60
37.10;0.63
37.20;0.64
37.30;0.66
37.40;0.70
37.50;0.59
37.60;0.60
37.70;0.64
37.80;0.64
37.90;0.66
38.00;0.68
38.10;0.55
38.20;0.52
38.30;0.60
38.40;0.63
38.50;0.67
38.60;0.69
38.70;0.56
38.80;0.47
38.90;0.45
39.00;0.53
39.10;0.57
39.20;0.53
39.30;0.60
39.40;0.59
39.50;0.61
39.60;0.59
39.70;0.59
39.80;0.53
39.90;0.55
40.00;0.57
40.10;0.63
40.20;0.65
40.30;0.57
40.40;0.54
40.50;0.61
40.60;0.61
40.70;0.59
40.80;0.53
40.90;0.61
41.00;0.52
41.10;0.53
41.20;0.53
41.30;0.44
41.40;0.42
41.50;0.46
41.60;0.56
41.70;0.56
41.80;0.59
41.90;0.64
42.00;0.52
42.10;0.49
42.20;0.57
42.30;0.53
42.40;0.47
42.50;0.47
42.60;0.52
42.70;0.51
42.80;0.58
42.90;0.63
43.00;0.54
43.10;0.67
43.20;0.83
43.30;0.87
43.40;0.68
43.50;0.95
43.60;0.76
43.70;0.60
43.80;0.70
43.90;0.68
44.00;0.67
44.10;0.66
44.20;0.78
44.30;0.83
44.40;0.72
44.50;0.72
44.60;0.71
44.70;0.72
44.80;0.86
44.90;0.77
45.00;0.62
45.10;0.67
45.20;0.80
45.30;0.88
45.40;0.84
45.50;0.75
45.60;0.65
45.70;0.66
45.80;0.62
45.90;0.70
46.00;0.60
46.10;0.62
46.20;0.62
46.30;0.67
46.40;0.56
46.50;0.71
46.60;0.63
46.70;0.64
46.80;0.60
46.90;0.60
47.00;0.62
47.10;0.29
47.20;0.38
47.30;0.58
47.40;0.49
47.50;0.53
47.60;0.53
47.70;0.33
47.80;0.50
47.90;0.62
48.00;0.53
48.10;0.47
48.20;0.42
48.30;0.43
48.40;0.56
48.50;0.76
48.60;0.81
48.70;0.58
48.80;0.54
48.90;0.60
49.00;0.53
49.10;0.41
49.20;0.44
49.30;0.55
49.40;0.52
49.50;0.59
49.60;0.38
49.70;0.52
49.80;0.81
49.90;0.88
50.00;0.80
50.10;0.72
50.20;0.79
50.30;0.94
50.40;0.88
50.50;0.67
50.60;0.69
50.70;0.88
50.80;0.80
50.90;0.95
51.00;0.85
51.10;0.80
51.20;0.63
51.30;0.67
51.40;0.77
51.50;0.82
51.60;0.77
51.70;0.90
51.80;0.79
51.90;0.83
52.00;0.84
52.10;0.91
52.20;0.88
52.30;0.86
52.40;0.69
52.50;0.79
52.60;0.49
52.70;0.49
52.80;0.63
52.90;0.69
53.00;0.74
53.10;0.71
53.20;0.78
53.30;0.75
53.40;0.76
53.50;0.71
53.60;0.83
53.70;0.89
53.80;0.72
53.90;0.79
54.00;0.96
54.10;0.86
54.20;0.70
54.30;0.66
54.40;0.69
54.50;0.64
54.60;0.73
54.70;0.69
54.80;0.81
54.90;0.70
55.00;0.70
55.10;0.67
55.20;0.62
55.30;0.64
55.40;0.59
55.50;0.60
55.60;0.63
55.70;0.63
55.80;0.66
55.90;0.59
56.00;0.55
56.10;0.50
56.20;0.46
56.30;0.54
56.40;0.48
56.50;0.50
56.60;0.62
56.70;0.71
56.80;0.78
56.90;1.03
57.00;0.71
57.10;0.66
57.20;0.65
57.30;0.58
57.40;0.65
57.50;0.71
57.60;0.83
57.70;0.71
57.80;0.65
57.90;0.70
58.00;0.59
58.10;0.64
58.20;0.55
58.30;0.65
58.40;0.79
58.50;0.59
58.60;0.57
58.70;0.60
58.80;0.54
58.90;0.62
59.00;0.72
59.10;1.01
59.20;0.71
59.30;0.65
59.40;0.71
59.50;0.73
59.60;0.70
59.70;0.86
59.80;0.88
59.90;0.74
60.00;0.61
60.10;0.66
60.20;0.69
60.30;0.69
60.40;0.73
60.50;0.76
60.60;0.82
60.70;0.68
60.80;0.67
60.90;0.68
61.00;0.56
61.10;0.63
61.20;0.70
61.30;0.75
61.40;0.77
61.50;0.94
61.60;0.67
61.70;0.69
61.80;0.64
61.90;0.61
62.00;0.61
62.10;0.59
62.20;0.84
62.30;0.79
62.40;0.66
62.50;0.69
62.60;0.76
62.70;0.67
62.80;0.66
62.90;0.58
63.00;0.88
63.10;0.75
63.20;0.75
63.30;0.73
63.40;0.68
63.50;0.59
63.60;0.60
63.70;0.66
63.80;0.75
63.90;0.79
64.00;0.68
64.10;0.63
64.20;0.57
64.30;0.66
64.40;0.68
64.50;0.71
64.60;0.98
64.70;0.69
64.80;0.62
64.90;0.55
65.00;0.52
65.10;0.55
65.20;0.85
65.30;0.79
65.40;0.64
65.50;0.63
65.60;0.72
65.70;0.75
65.80;0.70
65.90;0.75
66.00;0.94
66.10;0.68
66.20;0.62
66.30;0.78
66.40;0.72
66.50;0.75
66.60;0.66
66.70;0.87
66.80;0.75
66.90;0.64
67.00;0.62
67.10;0.57
67.20;0.67
67.30;0.66
67.40;0.72
67.50;0.77
67.60;0.84
67.70;0.50
67.80;0.60
67.90;0.69
68.00;0.77
68.10;0.86
68.20;0.98
68.30;0.94
68.40;0.84
68.50;0.88
68.60;0.95
68.70;0.91
